Experiment	bias spectroscopy	
Date	16.08.2023 18:09:56	
User		
X (m)	-668.137E-9	
Y (m)	631.212E-9	
Z (m)	-125.826E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-498.079E-12	4.38656E+0	-75.4758E-3	-498.079E-12	4.38656E+0	-75.4758E-3
-59.4000E-3	-469.649E-12	4.35173E+0	-80.8138E-3	-482.361E-12	4.35342E+0	-68.3583E-3
-58.8000E-3	-466.761E-12	4.31850E+0	-64.9766E-3	-471.429E-12	4.32388E+0	-53.6941E-3
-58.2000E-3	-472.516E-12	4.29379E+0	-24.8121E-3	-464.667E-12	4.30155E+0	-33.2350E-3
-57.6000E-3	-458.938E-12	4.28055E+0	-4.97382E-3	-457.034E-12	4.28828E+0	-13.8622E-3
-57.0000E-3	-446.044E-12	4.28101E+0	-1.18409E-3	-447.396E-12	4.28232E+0	-2.40393E-3
-56.4000E-3	-432.624E-12	4.28276E+0	9.43216E-3	-437.972E-12	4.28088E+0	-4.38538E-3
-55.8000E-3	-432.790E-12	4.27722E+0	-2.92814E-3	-430.847E-12	4.28210E+0	-19.6775E-3
-55.2000E-3	-425.427E-12	4.28355E+0	-51.2190E-3	-425.125E-12	4.28567E+0	-42.1601E-3
-54.6000E-3	-418.078E-12	4.29201E+0	-78.5524E-3	-419.487E-12	4.29383E+0	-61.3509E-3
-54.0000E-3	-415.498E-12	4.29880E+0	-75.1388E-3	-411.391E-12	4.30901E+0	-69.0713E-3
-53.4000E-3	-405.880E-12	4.32658E+0	-65.2750E-3	-401.988E-12	4.33053E+0	-66.8660E-3
-52.8000E-3	-383.698E-12	4.36098E+0	-58.3954E-3	-391.343E-12	4.35386E+0	-63.0827E-3
-52.2000E-3	-385.435E-12	4.38244E+0	-59.9236E-3	-381.505E-12	4.37241E+0	-61.9395E-3
-51.6000E-3	-369.704E-12	4.38682E+0	-65.8153E-3	-374.246E-12	4.38032E+0	-61.3948E-3
-51.0000E-3	-366.781E-12	4.38465E+0	-63.3818E-3	-367.928E-12	4.37664E+0	-56.8370E-3
-50.4000E-3	-369.253E-12	4.36831E+0	-51.2864E-3	-358.424E-12	4.36313E+0	-45.5831E-3
-49.8000E-3	-346.970E-12	4.34512E+0	-28.7035E-3	-347.132E-12	4.34205E+0	-29.6888E-3
-49.2000E-3	-324.265E-12	4.31796E+0	-7.90210E-3	-336.426E-12	4.31634E+0	-14.3936E-3
-48.6000E-3	-329.499E-12	4.28653E+0	925.687E-6	-328.998E-12	4.29067E+0	-4.47782E-3
-48.0000E-3	-329.002E-12	4.26213E+0	2.71670E-3	-323.443E-12	4.26976E+0	-2.07941E-3
-47.4000E-3	-319.674E-12	4.25006E+0	-2.92198E-3	-317.437E-12	4.25683E+0	-6.72848E-3
-46.8000E-3	-302.672E-12	4.24853E+0	-13.8720E-3	-309.317E-12	4.25124E+0	-15.9685E-3
-46.2000E-3	-306.072E-12	4.25190E+0	-29.6024E-3	-300.531E-12	4.24997E+0	-26.0131E-3
-45.6000E-3	-292.635E-12	4.24886E+0	-39.1089E-3	-291.206E-12	4.24963E+0	-32.5742E-3
-45.0000E-3	-278.505E-12	4.25005E+0	-37.3267E-3	-282.117E-12	4.24658E+0	-31.9751E-3
-44.4000E-3	-271.269E-12	4.24717E+0	-29.7440E-3	-273.136E-12	4.23887E+0	-22.0065E-3
-43.8000E-3	-268.679E-12	4.22574E+0	-9.42202E-3	-265.094E-12	4.22844E+0	-2.31670E-3
-43.2000E-3	-256.785E-12	4.21040E+0	21.9206E-3	-257.322E-12	4.21955E+0	24.0985E-3
-42.6000E-3	-246.457E-12	4.21271E+0	58.7609E-3	-248.764E-12	4.21475E+0	51.1515E-3
-42.0000E-3	-243.795E-12	4.21815E+0	81.4440E-3	-239.678E-12	4.21215E+0	71.8014E-3
-41.4000E-3	-228.661E-12	4.21127E+0	88.7936E-3	-231.600E-12	4.20616E+0	81.4222E-3
-40.8000E-3	-220.352E-12	4.19829E+0	87.1051E-3	-224.687E-12	4.19414E+0	78.8858E-3
-40.2000E-3	-222.723E-12	4.17697E+0	71.9688E-3	-216.792E-12	4.17998E+0	67.0114E-3
-39.6000E-3	-213.106E-12	4.15892E+0	47.6532E-3	-207.984E-12	4.16888E+0	51.2862E-3
-39.0000E-3	-189.067E-12	4.16270E+0	30.1966E-3	-197.834E-12	4.16038E+0	38.0972E-3
-38.4000E-3	-190.538E-12	4.16247E+0	26.2048E-3	-187.394E-12	4.14824E+0	31.9309E-3
-37.8000E-3	-179.890E-12	4.13615E+0	30.6477E-3	-177.443E-12	4.12460E+0	34.2987E-3
-37.2000E-3	-165.483E-12	4.09389E+0	38.1617E-3	-168.602E-12	4.08531E+0	44.0442E-3
-36.6000E-3	-156.763E-12	4.03994E+0	57.2821E-3	-160.687E-12	4.03217E+0	59.3994E-3
-36.0000E-3	-156.313E-12	3.97329E+0	78.2096E-3	-154.227E-12	3.97073E+0	77.2937E-3
-35.4000E-3	-151.254E-12	3.90111E+0	99.0450E-3	-148.120E-12	3.90762E+0	93.5745E-3
-34.8000E-3	-138.230E-12	3.84151E+0	110.253E-3	-141.295E-12	3.84958E+0	103.944E-3
-34.2000E-3	-134.552E-12	3.79392E+0	112.215E-3	-133.485E-12	3.80050E+0	107.161E-3
