Experiment	bias spectroscopy	
Date	16.08.2023 14:42:33	
User		
X (m)	-641.554E-9	
Y (m)	646.816E-9	
Z (m)	-103.864E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	60E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-700.000E-3	-200.371E-12	142.602E-3	-387.864E-3	-200.371E-12	142.602E-3	-387.864E-3
-693.000E-3	-199.160E-12	147.505E-3	-408.056E-3	-200.208E-12	156.837E-3	-410.736E-3
-686.000E-3	-200.990E-12	175.671E-3	-431.299E-3	-200.036E-12	173.579E-3	-435.935E-3
-679.000E-3	-199.682E-12	191.602E-3	-465.974E-3	-199.944E-12	200.522E-3	-455.567E-3
-672.000E-3	-199.708E-12	215.914E-3	-492.040E-3	-199.644E-12	237.884E-3	-459.686E-3
-665.000E-3	-199.723E-12	297.814E-3	-448.955E-3	-199.104E-12	273.662E-3	-445.886E-3
-658.000E-3	-197.871E-12	330.922E-3	-409.535E-3	-198.552E-12	296.819E-3	-426.419E-3
-651.000E-3	-198.171E-12	291.103E-3	-396.703E-3	-198.210E-12	308.257E-3	-417.437E-3
-644.000E-3	-197.573E-12	295.019E-3	-421.898E-3	-198.044E-12	320.145E-3	-424.912E-3
-637.000E-3	-198.868E-12	345.371E-3	-449.566E-3	-198.146E-12	344.779E-3	-440.643E-3
-630.000E-3	-197.485E-12	385.748E-3	-456.009E-3	-198.047E-12	376.891E-3	-448.860E-3
-623.000E-3	-198.772E-12	415.453E-3	-467.485E-3	-197.830E-12	398.333E-3	-439.530E-3
-616.000E-3	-196.772E-12	419.781E-3	-415.468E-3	-197.398E-12	391.412E-3	-415.684E-3
-609.000E-3	-197.204E-12	385.992E-3	-369.554E-3	-196.990E-12	349.535E-3	-390.675E-3
-602.000E-3	-196.514E-12	280.543E-3	-363.935E-3	-196.498E-12	284.539E-3	-377.503E-3
-595.000E-3	-196.100E-12	181.865E-3	-375.401E-3	-196.236E-12	222.879E-3	-382.496E-3
-588.000E-3	-195.527E-12	162.745E-3	-397.700E-3	-196.258E-12	185.412E-3	-397.025E-3
-581.000E-3	-196.553E-12	176.481E-3	-421.832E-3	-196.589E-12	177.678E-3	-404.044E-3
-574.000E-3	-197.700E-12	178.311E-3	-421.543E-3	-196.764E-12	189.051E-3	-392.064E-3
-567.000E-3	-197.075E-12	207.016E-3	-360.722E-3	-196.642E-12	202.507E-3	-367.012E-3
-560.000E-3	-195.243E-12	233.131E-3	-309.627E-3	-196.258E-12	208.521E-3	-348.117E-3
-553.000E-3	-196.276E-12	202.667E-3	-335.332E-3	-195.939E-12	204.457E-3	-350.231E-3
-546.000E-3	-195.808E-12	187.410E-3	-379.704E-3	-195.750E-12	198.152E-3	-374.777E-3
-539.000E-3	-195.635E-12	182.150E-3	-403.803E-3	-195.589E-12	208.555E-3	-407.396E-3
-532.000E-3	-195.229E-12	216.691E-3	-448.587E-3	-195.210E-12	246.104E-3	-429.350E-3
-525.000E-3	-195.077E-12	313.758E-3	-460.648E-3	-194.729E-12	303.368E-3	-430.086E-3
-518.000E-3	-193.943E-12	376.921E-3	-414.529E-3	-194.248E-12	359.484E-3	-409.598E-3
-511.000E-3	-193.480E-12	424.125E-3	-367.054E-3	-193.896E-12	392.697E-3	-384.440E-3
-504.000E-3	-193.965E-12	414.837E-3	-339.197E-3	-193.898E-12	403.679E-3	-380.111E-3
-497.000E-3	-193.597E-12	372.731E-3	-387.574E-3	-193.732E-12	419.478E-3	-400.962E-3
-490.000E-3	-195.195E-12	422.337E-3	-468.752E-3	-193.216E-12	465.608E-3	-423.571E-3
-483.000E-3	-190.763E-12	545.673E-3	-458.508E-3	-192.077E-12	551.674E-3	-428.991E-3
-476.000E-3	-191.471E-12	661.127E-3	-387.373E-3	-190.705E-12	672.053E-3	-418.578E-3
-469.000E-3	-188.808E-12	789.022E-3	-394.105E-3	-189.176E-12	815.840E-3	-407.895E-3
-462.000E-3	-188.022E-12	971.392E-3	-420.502E-3	-187.412E-12	982.604E-3	-406.613E-3
-455.000E-3	-186.176E-12	1.15713E+0	-411.523E-3	-185.250E-12	1.18254E+0	-413.015E-3
-448.000E-3	-181.358E-12	1.37490E+0	-404.180E-3	-182.858E-12	1.42450E+0	-418.125E-3
-441.000E-3	-181.548E-12	1.68489E+0	-438.831E-3	-180.297E-12	1.70032E+0	-422.714E-3
-434.000E-3	-177.517E-12	2.02718E+0	-423.797E-3	-177.437E-12	1.98360E+0	-428.862E-3
-427.000E-3	-174.657E-12	2.28243E+0	-427.044E-3	-174.412E-12	2.23578E+0	-433.726E-3
-420.000E-3	-170.479E-12	2.47359E+0	-450.057E-3	-171.169E-12	2.42519E+0	-430.210E-3
-413.000E-3	-168.363E-12	2.59797E+0	-433.232E-3	-168.161E-12	2.53999E+0	-415.499E-3
-406.000E-3	-165.254E-12	2.62807E+0	-382.981E-3	-165.274E-12	2.58061E+0	-393.005E-3
-399.000E-3	-162.362E-12	2.59405E+0	-351.432E-3	-162.831E-12	2.55176E+0	-377.874E-3
-392.000E-3	-159.751E-12	2.49344E+0	-366.054E-3	-160.424E-12	2.47567E+0	-384.638E-3
-385.000E-3	-159.969E-12	2.35249E+0	-408.606E-3	-157.980E-12	2.39161E+0	-406.479E-3
-378.000E-3	-154.287E-12	2.28519E+0	-456.374E-3	-155.094E-12	2.33550E+0	-424.292E-3
-371.000E-3	-152.261E-12	2.30524E+0	-435.698E-3	-152.075E-12	2.32174E+0	-428.386E-3
-364.000E-3	-148.310E-12	2.34239E+0	-404.385E-3	-149.069E-12	2.34522E+0	-423.410E-3
-357.000E-3	-146.961E-12	2.36951E+0	-419.845E-3	-146.531E-12	2.38972E+0	-420.112E-3
-350.000E-3	-143.615E-12	2.44619E+0	-423.691E-3	-143.879E-12	2.44531E+0	-423.949E-3
-343.000E-3	-142.043E-12	2.50979E+0	-430.972E-3	-140.971E-12	2.51135E+0	-430.743E-3
-336.000E-3	-137.532E-12	2.56976E+0	-438.031E-3	-137.612E-12	2.58541E+0	-436.565E-3
-329.000E-3	-133.749E-12	2.67171E+0	-440.521E-3	-134.251E-12	2.65610E+0	-442.165E-3
