Experiment	bias spectroscopy	
Date	16.08.2023 18:17:53	
User		
X (m)	-647.999E-9	
Y (m)	642.703E-9	
Z (m)	-125.8E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-507.170E-12	4.90656E+0	-55.1588E-3	-507.170E-12	4.90656E+0	-55.1588E-3
-59.4000E-3	-497.792E-12	4.84357E+0	-36.6080E-3	-503.507E-12	4.85077E+0	-31.8357E-3
-58.8000E-3	-505.457E-12	4.78927E+0	2.11493E-3	-500.070E-12	4.80588E+0	-17.8868E-3
-58.2000E-3	-494.123E-12	4.76363E+0	512.284E-6	-496.822E-12	4.77517E+0	-18.3144E-3
-57.6000E-3	-495.739E-12	4.76006E+0	-34.3032E-3	-492.910E-12	4.75500E+0	-31.1852E-3
-57.0000E-3	-487.202E-12	4.74032E+0	-60.5971E-3	-486.701E-12	4.74262E+0	-46.2247E-3
-56.4000E-3	-482.186E-12	4.71974E+0	-60.8483E-3	-479.493E-12	4.74214E+0	-52.5994E-3
-55.8000E-3	-468.344E-12	4.73936E+0	-48.1735E-3	-471.255E-12	4.75824E+0	-51.0694E-3
-55.2000E-3	-463.205E-12	4.79481E+0	-40.9111E-3	-461.915E-12	4.78416E+0	-49.0368E-3
-54.6000E-3	-457.120E-12	4.83160E+0	-50.2167E-3	-451.429E-12	4.80226E+0	-50.9784E-3
-54.0000E-3	-434.675E-12	4.81404E+0	-58.6429E-3	-440.417E-12	4.80007E+0	-57.2683E-3
-53.4000E-3	-429.577E-12	4.77622E+0	-60.9405E-3	-429.592E-12	4.78072E+0	-66.9458E-3
-52.8000E-3	-420.824E-12	4.75112E+0	-77.0429E-3	-418.844E-12	4.75565E+0	-77.5507E-3
-52.2000E-3	-409.901E-12	4.73415E+0	-96.2008E-3	-408.513E-12	4.73219E+0	-83.6271E-3
-51.6000E-3	-393.837E-12	4.71151E+0	-93.5207E-3	-397.771E-12	4.71127E+0	-78.4686E-3
-51.0000E-3	-388.678E-12	4.68656E+0	-65.1286E-3	-388.742E-12	4.69160E+0	-59.9723E-3
-50.4000E-3	-378.983E-12	4.67462E+0	-29.6804E-3	-380.742E-12	4.67402E+0	-35.3536E-3
-49.8000E-3	-377.631E-12	4.65653E+0	-2.83314E-3	-372.427E-12	4.65912E+0	-15.6371E-3
-49.2000E-3	-362.216E-12	4.64535E+0	1.58050E-3	-362.318E-12	4.64452E+0	-6.74996E-3
-48.6000E-3	-349.772E-12	4.63502E+0	-7.67066E-3	-351.057E-12	4.62747E+0	-5.89472E-3
-48.0000E-3	-340.075E-12	4.60684E+0	-12.8068E-3	-340.185E-12	4.60657E+0	-7.19551E-3
-47.4000E-3	-327.600E-12	4.58368E+0	-5.32095E-3	-330.660E-12	4.57808E+0	-7.23514E-3
-46.8000E-3	-324.798E-12	4.55527E+0	-3.68101E-3	-321.603E-12	4.53805E+0	-7.63161E-3
-46.2000E-3	-312.343E-12	4.49337E+0	-7.73184E-3	-312.562E-12	4.48738E+0	-10.0959E-3
-45.6000E-3	-301.352E-12	4.42048E+0	-17.8748E-3	-304.840E-12	4.43453E+0	-14.0087E-3
-45.0000E-3	-295.949E-12	4.37268E+0	-18.4097E-3	-297.250E-12	4.39429E+0	-17.1182E-3
-44.4000E-3	-297.304E-12	4.35836E+0	-17.7988E-3	-289.713E-12	4.37734E+0	-18.1775E-3
-43.8000E-3	-276.897E-12	4.37461E+0	-19.9517E-3	-280.892E-12	4.38192E+0	-17.0617E-3
-43.2000E-3	-271.373E-12	4.40142E+0	-15.2622E-3	-272.039E-12	4.39765E+0	-13.1367E-3
-42.6000E-3	-262.104E-12	4.41962E+0	-10.1069E-3	-263.489E-12	4.41467E+0	-2.90522E-3
-42.0000E-3	-259.334E-12	4.42900E+0	5.31620E-3	-255.476E-12	4.42719E+0	17.0704E-3
-41.4000E-3	-245.957E-12	4.43903E+0	42.4724E-3	-246.201E-12	4.43314E+0	45.9881E-3
-40.8000E-3	-235.213E-12	4.43896E+0	85.1123E-3	-235.339E-12	4.43136E+0	77.8948E-3
-40.2000E-3	-226.424E-12	4.42712E+0	114.916E-3	-223.532E-12	4.41994E+0	104.132E-3
-39.6000E-3	-208.082E-12	4.40577E+0	127.469E-3	-211.971E-12	4.39773E+0	118.825E-3
-39.0000E-3	-201.226E-12	4.37110E+0	127.336E-3	-201.417E-12	4.36567E+0	120.997E-3
-38.4000E-3	-191.449E-12	4.32878E+0	119.295E-3	-192.217E-12	4.32521E+0	113.947E-3
-37.8000E-3	-183.917E-12	4.28266E+0	99.7458E-3	-185.012E-12	4.27843E+0	103.193E-3
-37.2000E-3	-176.936E-12	4.22793E+0	87.6072E-3	-178.532E-12	4.22963E+0	94.2656E-3
-36.6000E-3	-175.246E-12	4.17463E+0	87.3312E-3	-171.646E-12	4.18432E+0	90.1445E-3
-36.0000E-3	-165.512E-12	4.13927E+0	90.4143E-3	-162.538E-12	4.14635E+0	90.5889E-3
-35.4000E-3	-151.374E-12	4.11533E+0	92.9908E-3	-151.701E-12	4.11361E+0	93.0171E-3
-34.8000E-3	-136.786E-12	4.08980E+0	95.8568E-3	-141.239E-12	4.07587E+0	95.8070E-3
-34.2000E-3	-131.382E-12	4.04402E+0	98.2729E-3	-132.768E-12	4.02148E+0	99.0120E-3
-33.6000E-3	-128.482E-12	3.95854E+0	101.806E-3	-126.197E-12	3.94722E+0	102.089E-3
-33.0000E-3	-118.497E-12	3.85497E+0	107.808E-3	-120.277E-12	3.85948E+0	103.407E-3
-32.4000E-3	-114.724E-12	3.76424E+0	105.061E-3	-113.742E-12	3.76878E+0	101.750E-3
-31.8000E-3	-108.397E-12	3.67911E+0	96.4646E-3	-106.392E-12	3.68178E+0	98.0034E-3
-31.2000E-3	-97.5775E-12	3.59879E+0	91.0544E-3	-99.0865E-12	3.59742E+0	95.6303E-3
-30.6000E-3	-89.8549E-12	3.51702E+0	92.1510E-3	-92.2539E-12	3.51101E+0	97.8461E-3
-30.0000E-3	-87.3829E-12	3.42414E+0	104.237E-3	-86.1522E-12	3.41997E+0	104.878E-3
-29.4000E-3	-81.6729E-12	3.32462E+0	115.557E-3	-80.5338E-12	3.32392E+0	113.276E-3
-28.8000E-3	-73.0250E-12	3.22624E+0	124.782E-3	-74.9293E-12	3.22345E+0	118.529E-3
-28.2000E-3	-69.5128E-12	3.12354E+0	122.981E-3	-69.4523E-12	3.11932E+0	117.600E-3
-27.6000E-3	-64.8430E-12	3.01247E+0	112.687E-3	-64.3181E-12	3.01258E+0	110.958E-3
-27.0000E-3	-59.2613E-12	2.90243E+0	100.213E-3	-59.4973E-12	2.90521E+0	101.026E-3
-26.4000E-3	-53.8928E-12	2.79748E+0	89.7303E-3	-54.7972E-12	2.79841E+0	90.8737E-3
-25.8000E-3	-50.6713E-12	2.69544E+0	80.5060E-3	-50.3765E-12	2.69100E+0	82.6209E-3
-25.2000E-3	-46.4936E-12	2.58465E+0	74.3460E-3	-45.9501E-12	2.58030E+0	77.0867E-3
-24.6000E-3	-41.4662E-12	2.46721E+0	73.2453E-3	-41.5918E-12	2.46445E+0	74.3054E-3
-24.0000E-3	-36.0280E-12	2.34691E+0	72.7863E-3	-37.4832E-12	2.34313E+0	73.6780E-3
-23.4000E-3	-34.2555E-12	2.22032E+0	74.1164E-3	-33.8387E-12	2.21743E+0	74.3478E-3
-22.8000E-3	-30.8300E-12	2.08862E+0	75.4217E-3	-30.7391E-12	2.08896E+0	75.5887E-3
-22.2000E-3	-26.8130E-12	1.95833E+0	77.1116E-3	-27.9537E-12	1.96027E+0	76.8507E-3
-21.6000E-3	-26.0708E-12	1.83038E+0	78.7385E-3	-25.2461E-12	1.83490E+0	77.4378E-3
-21.0000E-3	-22.6499E-12	1.70876E+0	77.9043E-3	-22.6237E-12	1.71589E+0	76.7289E-3
-20.4000E-3	-19.5990E-12	1.59922E+0	75.6216E-3	-20.0338E-12	1.60444E+0	74.7796E-3
-19.8000E-3	-17.4688E-12	1.49740E+0	71.2407E-3	-17.4726E-12	1.49979E+0	72.3263E-3
-19.2000E-3	-15.0700E-12	1.39844E+0	69.4083E-3	-15.1003E-12	1.40018E+0	69.9780E-3
-18.6000E-3	-12.8898E-12	1.30141E+0	68.9007E-3	-12.8881E-12	1.30468E+0	67.8000E-3
-18.0000E-3	-10.3495E-12	1.20913E+0	65.4907E-3	-10.7442E-12	1.21429E+0	65.6814E-3
-17.4000E-3	-9.05817E-12	1.12467E+0	62.8510E-3	-8.69570E-12	1.13151E+0	63.8191E-3
-16.8000E-3	-6.51870E-12	1.04947E+0	61.6496E-3	-6.68002E-12	1.05951E+0	62.9586E-3
-16.2000E-3	-4.62390E-12	989.540E-3	62.4226E-3	-4.67077E-12	1.00108E+0	63.3012E-3
-15.6000E-3	-2.76727E-12	947.364E-3	65.3475E-3	-2.57568E-12	958.305E-3	64.0054E-3
-15.0000E-3	-528.386E-15	920.152E-3	65.3040E-3	-410.492E-15	932.900E-3	64.1184E-3
-14.4000E-3	1.89005E-12	911.528E-3	63.3149E-3	1.99573E-12	926.136E-3	63.2751E-3
-13.8000E-3	4.24243E-12	925.539E-3	61.6903E-3	4.63923E-12	938.850E-3	61.9626E-3
-13.2000E-3	7.63326E-12	958.546E-3	60.1546E-3	7.56793E-12	971.644E-3	61.1640E-3
-12.6000E-3	10.3671E-12	1.00988E+0	60.3259E-3	10.7972E-12	1.02498E+0	61.5031E-3
-12.0000E-3	14.1825E-12	1.08403E+0	62.4175E-3	14.5239E-12	1.10009E+0	62.8727E-3
-11.4000E-3	18.0526E-12	1.18107E+0	65.4354E-3	18.8033E-12	1.19984E+0	64.2330E-3
-10.8000E-3	23.6725E-12	1.30481E+0	66.7946E-3	23.7312E-12	1.32765E+0	65.0376E-3
-10.2000E-3	28.7547E-12	1.46375E+0	63.2921E-3	29.3408E-12	1.48613E+0	65.6568E-3
-9.60000E-3	34.8265E-12	1.65554E+0	65.7352E-3	35.7605E-12	1.67727E+0	67.5395E-3
-9.00000E-3	42.6091E-12	1.87721E+0	69.7314E-3	42.5055E-12	1.90224E+0	71.7169E-3
-8.40000E-3	50.7205E-12	2.13752E+0	77.5403E-3	49.7577E-12	2.15992E+0	77.9869E-3
-7.80000E-3	54.8398E-12	2.43297E+0	85.8738E-3	57.5524E-12	2.44545E+0	84.2907E-3
-7.20000E-3	66.4467E-12	2.74564E+0	92.2325E-3	66.2342E-12	2.75160E+0	88.5933E-3
-6.60000E-3	75.5031E-12	3.06405E+0	92.0244E-3	75.6037E-12	3.07178E+0	89.3355E-3
-6.00000E-3	85.6697E-12	3.39494E+0	88.2477E-3	85.3902E-12	3.40107E+0	87.1327E-3
-5.40000E-3	94.7167E-12	3.73789E+0	81.6575E-3	95.0833E-12	3.73428E+0	84.4927E-3
-4.80000E-3	104.761E-12	4.07362E+0	80.2370E-3	104.698E-12	4.06371E+0	84.6508E-3
-4.20000E-3	115.102E-12	4.39469E+0	85.7277E-3	114.388E-12	4.37820E+0	89.7539E-3
