Experiment	bias spectroscopy	
Date	16.08.2023 16:43:51	
User		
X (m)	-645.613E-9	
Y (m)	645E-9	
Z (m)	-127.033E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-510.222E-12	4.97884E+0	-52.7481E-3	-510.222E-12	4.97884E+0	-52.7481E-3
-59.4000E-3	-493.785E-12	4.99077E+0	-71.9108E-3	-500.180E-12	4.99212E+0	-58.1613E-3
-58.8000E-3	-494.364E-12	5.00711E+0	-64.3900E-3	-489.437E-12	5.00513E+0	-56.8392E-3
-58.2000E-3	-482.140E-12	5.01733E+0	-43.6358E-3	-479.190E-12	5.01556E+0	-49.3686E-3
-57.6000E-3	-461.507E-12	5.03060E+0	-36.4503E-3	-469.010E-12	5.01626E+0	-42.9390E-3
-57.0000E-3	-461.890E-12	5.02155E+0	-37.9575E-3	-456.891E-12	5.00016E+0	-42.5456E-3
-56.4000E-3	-451.331E-12	4.97292E+0	-48.1972E-3	-443.192E-12	4.96635E+0	-46.5772E-3
-55.8000E-3	-420.058E-12	4.91801E+0	-54.8666E-3	-429.743E-12	4.91984E+0	-49.8770E-3
-55.2000E-3	-412.143E-12	4.86972E+0	-53.0002E-3	-419.009E-12	4.86744E+0	-49.0383E-3
-54.6000E-3	-415.484E-12	4.81682E+0	-45.1781E-3	-411.256E-12	4.81345E+0	-43.9188E-3
-54.0000E-3	-410.595E-12	4.75586E+0	-34.9432E-3	-404.897E-12	4.75963E+0	-36.8888E-3
-53.4000E-3	-390.483E-12	4.70255E+0	-29.3235E-3	-396.933E-12	4.70809E+0	-29.2513E-3
-52.8000E-3	-390.261E-12	4.65951E+0	-24.5334E-3	-388.030E-12	4.66123E+0	-20.3669E-3
-52.2000E-3	-381.121E-12	4.61612E+0	-11.0663E-3	-379.173E-12	4.61942E+0	-8.49071E-3
-51.6000E-3	-368.837E-12	4.57926E+0	4.80699E-3	-370.269E-12	4.58162E+0	7.09255E-3
-51.0000E-3	-360.977E-12	4.54539E+0	25.1544E-3	-359.775E-12	4.54699E+0	25.1357E-3
-50.4000E-3	-350.869E-12	4.51380E+0	45.1367E-3	-349.312E-12	4.51427E+0	42.3070E-3
-49.8000E-3	-334.827E-12	4.48411E+0	61.9804E-3	-339.560E-12	4.48172E+0	55.5553E-3
-49.2000E-3	-331.518E-12	4.44854E+0	66.7788E-3	-330.963E-12	4.44883E+0	62.3840E-3
-48.6000E-3	-324.093E-12	4.41389E+0	66.7874E-3	-322.980E-12	4.41751E+0	63.1683E-3
-48.0000E-3	-315.905E-12	4.38389E+0	59.2177E-3	-314.619E-12	4.38988E+0	59.9553E-3
-47.4000E-3	-305.004E-12	4.36620E+0	55.2384E-3	-306.623E-12	4.36304E+0	56.4837E-3
-46.8000E-3	-294.522E-12	4.34675E+0	50.6588E-3	-299.453E-12	4.32941E+0	54.6507E-3
-46.2000E-3	-299.520E-12	4.29391E+0	56.1085E-3	-292.413E-12	4.28613E+0	54.1238E-3
-45.6000E-3	-284.510E-12	4.22503E+0	56.6041E-3	-284.657E-12	4.23952E+0	52.0139E-3
-45.0000E-3	-272.769E-12	4.18588E+0	49.6990E-3	-276.401E-12	4.20090E+0	46.4359E-3
-44.4000E-3	-268.895E-12	4.17012E+0	37.1243E-3	-268.191E-12	4.17824E+0	38.9366E-3
-43.8000E-3	-261.876E-12	4.16280E+0	26.0795E-3	-259.622E-12	4.17183E+0	34.7586E-3
-43.2000E-3	-253.636E-12	4.17005E+0	30.6303E-3	-250.009E-12	4.17572E+0	37.3876E-3
-42.6000E-3	-233.385E-12	4.18975E+0	47.1416E-3	-239.343E-12	4.18045E+0	45.4151E-3
-42.0000E-3	-231.337E-12	4.19439E+0	59.3091E-3	-229.180E-12	4.17515E+0	54.2149E-3
-41.4000E-3	-219.691E-12	4.16533E+0	61.9437E-3	-220.399E-12	4.15265E+0	59.5043E-3
