Experiment	bias spectroscopy	
Date	16.08.2023 16:45:02	
User		
X (m)	-645.692E-9	
Y (m)	645.003E-9	
Z (m)	-127.044E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-545.616E-12	5.13681E+0	83.4798E-3	-545.616E-12	5.13681E+0	83.4798E-3
-59.4000E-3	-548.933E-12	5.15240E+0	54.6565E-3	-540.705E-12	5.16157E+0	68.5275E-3
-58.8000E-3	-529.798E-12	5.18683E+0	56.6246E-3	-535.071E-12	5.18892E+0	59.3745E-3
-58.2000E-3	-529.443E-12	5.22585E+0	56.0017E-3	-528.617E-12	5.22053E+0	56.0033E-3
-57.6000E-3	-521.425E-12	5.24584E+0	59.8727E-3	-520.111E-12	5.26030E+0	54.5739E-3
-57.0000E-3	-518.783E-12	5.29194E+0	47.8476E-3	-507.962E-12	5.31271E+0	55.6327E-3
-56.4000E-3	-489.903E-12	5.37907E+0	49.3362E-3	-492.310E-12	5.37362E+0	60.6434E-3
-55.8000E-3	-466.794E-12	5.45711E+0	80.7799E-3	-476.078E-12	5.42165E+0	56.5691E-3
-55.2000E-3	-467.715E-12	5.48277E+0	76.6099E-3	-461.350E-12	5.42941E+0	22.9199E-3
-54.6000E-3	-447.049E-12	5.41571E+0	-27.6358E-3	-448.628E-12	5.38812E+0	-49.9373E-3
-54.0000E-3	-434.249E-12	5.30507E+0	-164.904E-3	-435.711E-12	5.31412E+0	-148.691E-3
-53.4000E-3	-424.786E-12	5.21961E+0	-265.793E-3	-420.225E-12	5.23025E+0	-245.610E-3
-52.8000E-3	-406.804E-12	5.15505E+0	-338.287E-3	-403.122E-12	5.14847E+0	-315.380E-3
-52.2000E-3	-379.723E-12	5.07456E+0	-383.378E-3	-385.541E-12	5.06274E+0	-344.064E-3
-51.6000E-3	-365.659E-12	4.97988E+0	-364.613E-3	-368.681E-12	4.96406E+0	-323.559E-3
-51.0000E-3	-359.190E-12	4.85377E+0	-284.193E-3	-354.306E-12	4.85096E+0	-253.828E-3
-50.4000E-3	-335.485E-12	4.72967E+0	-153.933E-3	-342.532E-12	4.73039E+0	-154.094E-3
-49.8000E-3	-331.423E-12	4.60360E+0	-18.6854E-3	-332.747E-12	4.61744E+0	-59.4934E-3
-49.2000E-3	-326.817E-12	4.49007E+0	44.7442E-3	-323.956E-12	4.53085E+0	2.71269E-3
-48.6000E-3	-316.661E-12	4.45078E+0	33.5360E-3	-315.950E-12	4.47934E+0	29.8238E-3
-48.0000E-3	-304.285E-12	4.45842E+0	25.1516E-3	-306.847E-12	4.45554E+0	41.0903E-3
-47.4000E-3	-300.229E-12	4.45433E+0	46.5467E-3	-296.502E-12	4.43822E+0	58.0032E-3
-46.8000E-3	-287.075E-12	4.42584E+0	85.2036E-3	-285.261E-12	4.40376E+0	86.6505E-3
-46.2000E-3	-269.694E-12	4.36534E+0	125.576E-3	-274.624E-12	4.34111E+0	117.898E-3
-45.6000E-3	-262.574E-12	4.26334E+0	154.577E-3	-266.313E-12	4.25264E+0	139.078E-3
-45.0000E-3	-261.573E-12	4.14728E+0	159.945E-3	-260.082E-12	4.15137E+0	142.769E-3
-44.4000E-3	-258.596E-12	4.03481E+0	135.232E-3	-254.265E-12	4.05587E+0	129.239E-3
-43.8000E-3	-244.285E-12	3.95826E+0	104.228E-3	-247.213E-12	3.98237E+0	103.635E-3
